valor,data
70.74039,2010-10-26
70.56894,2010-10-27
70.32013,2010-10-28
70.6733,2010-10-29
,2010-10-30
,2010-10-31
71.56093,2010-11-01
,2010-11-02
71.90477,2010-11-03
72.99569,2010-11-04
72.60658,2010-11-05
,2010-11-06
,2010-11-07
72.65737,2010-11-08
71.67947,2010-11-09
71.63838,2010-11-10
71.19516,2010-11-11
70.36715,2010-11-12
,2010-11-13
,2010-11-14
,2010-11-15
69.19241,2010-11-16
69.70863,2010-11-17
70.7814,2010-11-18
70.8979,2010-11-19
,2010-11-20
,2010-11-21
69.6325,2010-11-22
67.95255,2010-11-23
69.62936,2010-11-24
69.36163,2010-11-25
68.2261,2010-11-26
,2010-11-27
,2010-11-28
67.90818,2010-11-29
67.7054,2010-11-30
69.34585,2010-12-01
69.52707,2010-12-02
69.76609,2010-12-03
,2010-12-04
,2010-12-05
69.55181,2010-12-06
69.33764,2010-12-07
68.17492,2010-12-08
67.87946,2010-12-09
68.34183,2010-12-10
,2010-12-11
,2010-12-12
69.12632,2010-12-13
68.74297,2010-12-14
67.87014,2010-12-15
67.30639,2010-12-16
67.98122,2010-12-17
,2010-12-18
,2010-12-19
67.2636,2010-12-20
68.21486,2010-12-21
68.47076,2010-12-22
68.48596,2010-12-23
,2010-12-24
,2010-12-25
,2010-12-26
67.80316,2010-12-27
68.04094,2010-12-28
68.95242,2010-12-29
69.30481,2010-12-30
,2010-12-31
,2011-01-01
,2011-01-02
69.96232,2011-01-03
70.31779,2011-01-04
71.09103,2011-01-05
70.57883,2011-01-06
70.0572,2011-01-07
,2011-01-08
,2011-01-09
70.12704,2011-01-10
70.42344,2011-01-11
71.6329,2011-01-12
70.72144,2011-01-13
70.94022,2011-01-14
,2011-01-15
,2011-01-16
70.60907,2011-01-17
70.91975,2011-01-18
70.05808,2011-01-19
69.56153,2011-01-20
69.13309,2011-01-21
,2011-01-22
,2011-01-23
69.42657,2011-01-24
,2011-01-25
68.70922,2011-01-26
68.05071,2011-01-27
66.69757,2011-01-28
,2011-01-29
,2011-01-30
66.57488,2011-01-31
67.84734,2011-02-01
66.68848,2011-02-02
66.76484,2011-02-03
