valor,data
101.56105,2022-01-06
102.71947,2022-01-07
,2022-01-08
,2022-01-09
101.9452,2022-01-10
103.77898,2022-01-11
105.68566,2022-01-12
105.5295,2022-01-13
106.92779,2022-01-14
,2022-01-15
,2022-01-16
106.37387,2022-01-17
106.66766,2022-01-18
108.01347,2022-01-19
109.10199,2022-01-20
108.94168,2022-01-21
,2022-01-22
,2022-01-23
107.93711,2022-01-24
110.20377,2022-01-25
111.28918,2022-01-26
112.61165,2022-01-27
111.9101,2022-01-28
,2022-01-29
,2022-01-30
112.14351,2022-01-31
113.22831,2022-02-01
111.89436,2022-02-02
111.69594,2022-02-03
112.24494,2022-02-04
,2022-02-05
,2022-02-06
111.9964,2022-02-07
112.23446,2022-02-08
112.46139,2022-02-09
113.36777,2022-02-10
113.57235,2022-02-11
,2022-02-12
,2022-02-13
113.89919,2022-02-14
114.82818,2022-02-15
115.18095,2022-02-16
113.52848,2022-02-17
112.87985,2022-02-18
,2022-02-19
,2022-02-20
111.7253,2022-02-21
112.8918,2022-02-22
112.00761,2022-02-23
111.59187,2022-02-24
113.14194,2022-02-25
,2022-02-26
,2022-02-27
,2022-02-28
,2022-03-01
115.17361,2022-03-02
115.16555,2022-03-03
114.47378,2022-03-04
,2022-03-05
,2022-03-06
111.59346,2022-03-07
111.20345,2022-03-08
113.90034,2022-03-09
113.66313,2022-03-10
111.71307,2022-03-11
,2022-03-12
,2022-03-13
109.92762,2022-03-14
108.9593,2022-03-15
111.11243,2022-03-16
113.07633,2022-03-17
115.31091,2022-03-18
,2022-03-19
,2022-03-20
116.15453,2022-03-21
117.27244,2022-03-22
117.45734,2022-03-23
119.05291,2022-03-24
119.08113,2022-03-25
,2022-03-26
,2022-03-27
118.73778,2022-03-28
120.01417,2022-03-29
120.25976,2022-03-30
119.99923,2022-03-31
121.57015,2022-04-01
,2022-04-02
,2022-04-03
121.27951,2022-04-04
118.88515,2022-04-05
118.22775,2022-04-06
118.86212,2022-04-07
118.32226,2022-04-08
,2022-04-09
,2022-04-10
116.95285,2022-04-11
116.14686,2022-04-12
116.78196,2022-04-13
116.18161,2022-04-14
,2022-04-15
,2022-04-16
,2022-04-17
115.68725,2022-04-18
115.05666,2022-04-19
114.34378,2022-04-20
,2022-04-21
111.07751,2022-04-22
,2022-04-23
,2022-04-24
110.68495,2022-04-25
108.21286,2022-04-26
109.34937,2022-04-27
109.91897,2022-04-28
107.87616,2022-04-29
,2022-04-30
,2022-05-01
106.63864,2022-05-02
106.52809,2022-05-03
108.34374,2022-05-04
105.30419,2022-05-05
105.13473,2022-05-06
,2022-05-07
,2022-05-08
103.25002,2022-05-09
103.10994,2022-05-10
104.3969,2022-05-11
105.68764,2022-05-12
106.92418,2022-05-13
,2022-05-14
,2022-05-15
108.23274,2022-05-16
108.78933,2022-05-17
106.24715,2022-05-18
107.00522,2022-05-19
108.48788,2022-05-20
,2022-05-21
,2022-05-22
110.34582,2022-05-23
110.58079,2022-05-24
110.57981,2022-05-25
111.88988,2022-05-26
111.94168,2022-05-27
,2022-05-28
,2022-05-29
111.03211,2022-05-30
111.35051,2022-05-31
111.35994,2022-06-01
112.39291,2022-06-02
111.10232,2022-06-03
,2022-06-04
,2022-06-05
110.18591,2022-06-06
110.06976,2022-06-07
108.36767,2022-06-08
107.09371,2022-06-09
105.48123,2022-06-10
,2022-06-11
,2022-06-12
102.59818,2022-06-13
102.06325,2022-06-14
102.80682,2022-06-15
,2022-06-16
99.82494,2022-06-17
,2022-06-18
,2022-06-19
99.85267,2022-06-20
99.6845,2022-06-21
99.52232,2022-06-22
98.08034,2022-06-23
98.67226,2022-06-24
,2022-06-25
,2022-06-26
100.7636,2022-06-27
100.59141,2022-06-28
99.62158,2022-06-29
98.54195,2022-06-30
98.9539,2022-07-01
,2022-07-02
,2022-07-03
98.60876,2022-07-04
98.29464,2022-07-05
98.71898,2022-07-06
100.72972,2022-07-07
100.28894,2022-07-08
,2022-07-09
,2022-07-10
98.21246,2022-07-11
98.27121,2022-07-12
97.88116,2022-07-13
96.12085,2022-07-14
96.551,2022-07-15
,2022-07-16
,2022-07-17
96.91613,2022-07-18
98.2448,2022-07-19
98.28683,2022-07-20
99.03317,2022-07-21
98.92482,2022-07-22
,2022-07-23
,2022-07-24
100.26985,2022-07-25
99.77169,2022-07-26
101.43796,2022-07-27
102.59666,2022-07-28
103.16469,2022-07-29
,2022-07-30
,2022-07-31
102.22508,2022-08-01
103.3617,2022-08-02
103.77468,2022-08-03
105.89222,2022-08-04
106.47192,2022-08-05
,2022-08-06
,2022-08-07
108.40227,2022-08-08
108.65105,2022-08-09
110.23576,2022-08-10
109.71794,2022-08-11
112.76426,2022-08-12
,2022-08-13
,2022-08-14
113.03198,2022-08-15
113.51238,2022-08-16
113.70776,2022-08-17
113.81287,2022-08-18
111.49621,2022-08-19
,2022-08-20
,2022-08-21
110.50053,2022-08-22
112.8571,2022-08-23
112.89784,2022-08-24
113.53172,2022-08-25
112.29886,2022-08-26
,2022-08-27
,2022-08-28
112.32312,2022-08-29
110.43064,2022-08-30
109.52288,2022-08-31
110.4053,2022-09-01
110.86424,2022-09-02
,2022-09-03
,2022-09-04
112.20335,2022-09-05
109.76377,2022-09-06
,2022-09-07
109.91564,2022-09-08
112.30041,2022-09-09
,2022-09-10
,2022-09-11
113.40655,2022-09-12
110.79396,2022-09-13
110.54667,2022-09-14
109.95365,2022-09-15
109.28037,2022-09-16
,2022-09-17
,2022-09-18
111.82389,2022-09-19
112.51691,2022-09-20
111.93586,2022-09-21
114.07048,2022-09-22
111.716,2022-09-23
,2022-09-24
,2022-09-25
109.11416,2022-09-26
108.37635,2022-09-27
108.4512,2022-09-28
107.66435,2022-09-29
110.03679,2022-09-30
,2022-10-01
,2022-10-02
116.13446,2022-10-03
116.23012,2022-10-04
117.19782,2022-10-05
117.56083,2022-10-06
116.37525,2022-10-07
,2022-10-08
,2022-10-09
115.94064,2022-10-10
114.82712,2022-10-11
,2022-10-12
114.30009,2022-10-13
112.07234,2022-10-14
,2022-10-15
,2022-10-16
113.62398,2022-10-17
115.74307,2022-10-18
116.27424,2022-10-19
117.17111,2022-10-20
119.92879,2022-10-21
,2022-10-22
,2022-10-23
116.0127,2022-10-24
114.62559,2022-10-25
112.76379,2022-10-26
114.64076,2022-10-27
114.53905,2022-10-28
,2022-10-29
,2022-10-30
116.03708,2022-10-31
116.92866,2022-11-01
,2022-11-02
116.89636,2022-11-03
118.15546,2022-11-04
,2022-11-05
,2022-11-06
115.3424,2022-11-07
116.16035,2022-11-08
113.58009,2022-11-09
109.77546,2022-11-10
112.25349,2022-11-11
,2022-11-12
,2022-11-13
113.16128,2022-11-14
,2022-11-15
110.24333,2022-11-16
109.70278,2022-11-17
108.87017,2022-11-18
,2022-11-19
,2022-11-20
109.74818,2022-11-21
109.03654,2022-11-22
108.84115,2022-11-23
111.83116,2022-11-24
108.9767,2022-11-25
,2022-11-26
,2022-11-27
108.78215,2022-11-28
110.90961,2022-11-29
112.48601,2022-11-30
110.9256,2022-12-01
111.92393,2022-12-02
,2022-12-03
,2022-12-04
109.40141,2022-12-05
110.18857,2022-12-06
109.06855,2022-12-07
107.24904,2022-12-08
107.51956,2022-12-09
,2022-12-10
,2022-12-11
105.34333,2022-12-12
103.53967,2022-12-13
103.74577,2022-12-14
103.73769,2022-12-15
102.8557,2022-12-16
,2022-12-17
,2022-12-18
104.73975,2022-12-19
106.86411,2022-12-20
107.43314,2022-12-21
107.55152,2022-12-22
109.69757,2022-12-23
,2022-12-24
,2022-12-25
108.73775,2022-12-26
108.5782,2022-12-27
110.23671,2022-12-28
109.7346,2022-12-29
,2022-12-30
,2022-12-31
,2023-01-01
106.37602,2023-01-02
104.16574,2023-01-03
105.33446,2023-01-04
107.64132,2023-01-05
108.9637,2023-01-06
,2023-01-07
,2023-01-08
109.12957,2023-01-09
110.81671,2023-01-10
112.51708,2023-01-11
111.85022,2023-01-12
110.91608,2023-01-13
,2023-01-14
,2023-01-15
109.21266,2023-01-16
111.43912,2023-01-17
112.22839,2023-01-18
112.92188,2023-01-19
112.04064,2023-01-20
,2023-01-21
,2023-01-22
111.73728,2023-01-23
113.02815,2023-01-24
114.27007,2023-01-25
114.17755,2023-01-26
112.31616,2023-01-27
,2023-01-28
,2023-01-29
112.27301,2023-01-30
113.43054,2023-01-31
112.07355,2023-02-01
110.14064,2023-02-02
108.52347,2023-02-03
,2023-02-04
,2023-02-05
108.72158,2023-02-06
107.82973,2023-02-07
109.95149,2023-02-08
108.00805,2023-02-09
108.07827,2023-02-10
,2023-02-11
,2023-02-12
108.83647,2023-02-13
107.84881,2023-02-14
109.60014,2023-02-15
109.94146,2023-02-16
109.17692,2023-02-17
,2023-02-18
,2023-02-19
,2023-02-20
,2023-02-21
107.15205,2023-02-22
107.59287,2023-02-23
105.79843,2023-02-24
,2023-02-25
,2023-02-26
105.71105,2023-02-27
104.93193,2023-02-28
104.38467,2023-03-01
103.32561,2023-03-02
103.86599,2023-03-03
,2023-03-04
,2023-03-05
104.70032,2023-03-06
104.22793,2023-03-07
106.54032,2023-03-08
105.07119,2023-03-09
103.6182,2023-03-10
,2023-03-11
,2023-03-12
103.12136,2023-03-13
102.93238,2023-03-14
102.67545,2023-03-15
103.43466,2023-03-16
101.98153,2023-03-17
,2023-03-18
,2023-03-19
100.92289,2023-03-20
100.99813,2023-03-21
100.22063,2023-03-22
97.92634,2023-03-23
98.82927,2023-03-24
,2023-03-25
,2023-03-26
99.67047,2023-03-27
101.18509,2023-03-28
101.79252,2023-03-29
103.71345,2023-03-30
101.8822,2023-03-31
,2023-04-01
,2023-04-02
101.50618,2023-04-03
101.86945,2023-04-04
100.97785,2023-04-05
100.82173,2023-04-06
,2023-04-07
,2023-04-08
,2023-04-09
101.84664,2023-04-10
106.21376,2023-04-11
106.88971,2023-04-12
